CallNumber,Algorithm,BestHost,TotalHosts,MEC_Hosts,MMEC_Hosts,BestHost_RAM,Total_RAM,BestHost_Disk,Total_Disk,BestHost_CPU,Total_CPU,Latency,BestHost_Latitude,BestHost_Longitude,UE_Latitude,UE_Longitude,Distance,ExecutionTime,std_Utilization
512,HHO,mmecHost[11],20,0,20,1.195629345840252E9,2.0E9,8.056522776706802E10,1.0E11,1438.5387997181745,3000.0,0.010207165845,7430.970528422775,2871.2695031976136,7482.371,2738.946,141.95604241049423,0,0.0
513,HHO,mmecHost[14],20,0,20,1.211908224974392E9,2.0E9,7.553791821239594E10,1.0E11,2057.6723143730337,3000.0,1000000.0,9397.062908458529,6086.927600432497,7487.439,2726.372,3865.229283671881,0,0.0
514,HHO,mmecHost[5],20,0,20,1.6278752460085802E9,2.0E9,7.873789163993585E10,1.0E11,1761.5315241509204,3000.0,1000000.0,6240.579139362918,8500.636257132912,7492.709,2713.897,5920.6570934265565,0,0.0
515,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7497.381,2701.78,7969.337301655703,0,0.0
516,HHO,mmecHost[13],20,0,20,1.372054761334191E9,2.0E9,7.313319829107048E10,1.0E11,2487.329014358379,3000.0,1000000.0,2282.0106838727456,8636.444637469127,7502.215,2689.371,7913.16737795896,0,0.0
517,HHO,mmecHost[18],20,0,20,1.708237938067716E9,2.0E9,8.6717003169468E10,1.0E11,2510.4129510712364,3000.0,1000000.0,7959.191027532675,4678.849139000387,7506.907,2676.633,2052.66419777683,0,0.0
518,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7511.074,2664.195,7969.57763193891,0,0.0
519,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7515.272,2651.665,7969.35634202719,0,0.0
520,HHO,mmecHost[16],20,0,20,1.5136535070891736E9,2.0E9,7.338495469210657E10,1.0E11,2464.6747510004493,3000.0,1000000.0,1260.4555861242661,6522.424360345191,7519.403,2639.336,7365.649865688027,0,0.0
521,HHO,mmecHost[3],20,0,20,1.1807398505473154E9,2.0E9,8.95903243691494E10,1.0E11,2451.0164848218233,3000.0,1000000.0,6515.347855697703,7418.983839014224,7523.477,2626.809,4897.0668832754045,0,0.0
